# wavelength, S, M, L
4.800000000000000000e+02,2.983842506224040902e-01,2.834431350722981247e-01,1.576613358073030990e-01
4.810000000000000000e+02,2.774616293046015536e-01,2.891904659269211586e-01,1.619663222180723339e-01
4.820000000000000000e+02,2.574579722321663211e-01,2.948604486272643488e-01,1.663039162970794405e-01
4.830000000000000000e+02,2.384737991572889459e-01,3.005344422903460933e-01,1.707190358089325788e-01
4.840000000000000000e+02,2.205577430167560138e-01,3.062724704508040241e-01,1.752455951876429330e-01
4.850000000000000000e+02,2.037554708132233161e-01,3.121681515462880752e-01,1.799378006037743172e-01
4.860000000000000000e+02,1.880706247286524635e-01,3.182930844278361593e-01,1.848386314893265825e-01
4.870000000000000000e+02,1.734713976765265009e-01,3.246870419714769085e-01,1.899736926290777062e-01
4.880000000000000000e+02,1.599084337140030121e-01,3.313699425824935263e-01,1.953576097986951809e-01
4.890000000000000000e+02,1.473341455238555420e-01,3.383709024911951690e-01,2.010108587379188794e-01
4.900000000000000000e+02,1.356926507282423811e-01,3.457053145866482713e-01,2.069462572399030642e-01
4.910000000000000000e+02,1.249431897639197014e-01,3.534302491410689639e-01,2.132020749197778842e-01
4.920000000000000000e+02,1.150521096344909594e-01,3.616408685616981922e-01,2.198408238278500570e-01
4.930000000000000000e+02,1.059825672874866592e-01,3.704494581221066118e-01,2.269373234018164931e-01
4.940000000000000000e+02,9.769757997027035679e-02,3.799965650366929903e-01,2.345860072204082880e-01
4.950000000000000000e+02,9.015374364727815615e-02,3.904282321542734135e-01,2.428874565632923033e-01
4.960000000000000000e+02,8.329417763051485957e-02,4.018511274101977393e-01,2.519204254316455560e-01
4.970000000000000000e+02,7.703816404200732049e-02,4.142411100043958960e-01,2.616831467343747053e-01
4.980000000000000000e+02,7.129944359905965312e-02,4.274711577578217958e-01,2.721079460752542922e-01
4.990000000000000000e+02,6.601654811579965587e-02,4.414663658043982974e-01,2.831581387347720802e-01
5.000000000000000000e+02,6.112690118757864444e-02,4.560654285093517224e-01,2.947397462896320097e-01
5.010000000000000000e+02,5.658875877871504673e-02,4.711692311345631601e-01,3.067961310490365801e-01
5.020000000000000000e+02,5.237455634016392747e-02,4.867415301350512258e-01,3.193099467400715707e-01
5.030000000000000000e+02,4.846474915262958399e-02,5.027974004665860530e-01,3.322970389406253999e-01
5.040000000000000000e+02,4.484033694795486885e-02,5.193524210104907279e-01,3.457738755739488967e-01
5.050000000000000000e+02,4.148009693663581854e-02,5.363856285590282713e-01,3.597327261469485116e-01
5.060000000000000000e+02,3.836703429519640329e-02,5.539099917676910678e-01,3.741883919532703051e-01
5.070000000000000000e+02,3.548237922711149073e-02,5.718992780130432996e-01,3.891292890925464598e-01
5.080000000000000000e+02,3.280806757477366248e-02,5.903088539660366063e-01,4.045307658302202403e-01
5.090000000000000000e+02,3.032971381880833830e-02,6.091292935895317173e-01,4.203916744330833954e-01
5.100000000000000000e+02,2.803115770841689905e-02,6.282913363915042515e-01,4.366691968316489536e-01
5.110000000000000000e+02,2.589841354091822201e-02,6.477313619402704781e-01,4.533232414210267569e-01
5.120000000000000000e+02,2.391487437025778540e-02,6.672703520418324930e-01,4.702313143193604383e-01
5.130000000000000000e+02,2.206675051979445704e-02,6.867243839180119380e-01,4.872641593365286683e-01
