# wavelength, S, M, L
6.900000000000000000e+02,2.504353521822423797e-08,1.081659899497799601e-03,1.564713851510797157e-02
6.910000000000000000e+02,2.358975609449978310e-08,1.003848365829748332e-03,1.455493578867434259e-02
6.920000000000000000e+02,2.222425633855958177e-08,9.317802164360742493e-04,1.353725356969675414e-02
6.930000000000000000e+02,2.094144598378458185e-08,8.650233284414313075e-04,1.258931429807852269e-02
6.940000000000000000e+02,1.973610113889168616e-08,8.031784279449408637e-04,1.170660409655723683e-02
6.950000000000000000e+02,1.860334575688911889e-08,7.458765996418495470e-04,1.088486370299658439e-02
6.960000000000000000e+02,1.753862053291324084e-08,6.927769807659981283e-04,1.012007898157207472e-02
6.970000000000000000e+02,1.653766280551411232e-08,6.435646265695975365e-04,9.408471137754250563e-03
6.980000000000000000e+02,1.559648909131380110e-08,5.979485353025974434e-04,8.746486748113081397e-03
6.990000000000000000e+02,1.471137320167561979e-08,5.556598213905680978e-04,8.130787702702946609e-03
