Degree: 4, Macular: 0.908875, OD: 0.3875
wavelength,sensitivity
495,0.1683346066076456
496,0.1588940241312067
497,0.15013038296688483
498,0.14192035343934295
499,0.13419457111078734
500,0.12686459202511327
501,0.11988145520160107
502,0.1132142375226363
503,0.10684917754950751
504,0.10077358864088619
505,0.09496916059590128
506,0.08942800847018623
507,0.08413124119690972
508,0.07906854267001966
509,0.07423077199218749
510,0.06960545766353833
511,0.06518198508743075
512,0.06094710952399471
513,0.056887366965951834
514,0.05298935416949408
515,0.049246391159821656
516,0.04565734004277894
517,0.04223216409853529
518,0.038979132970242206
519,0.03590763621369739
520,0.033019157532589966
521,0.030316284398657713
522,0.02779612331223033
523,0.025455615403547825
524,0.023290741917460975
525,0.021293317745966104
526,0.01945606472054323
527,0.01776524313597221
528,0.016208891350776165
529,0.014775294500649964
530,0.013455191328768006
531,0.012239518405441793
532,0.011124667189642518
533,0.010104786755573955
534,0.009175627583228105
535,0.00833120835603364
536,0.00756553449408624
537,0.006871652167039593
538,0.0062424640443762645
539,0.005671786509046026
540,0.005154265100591531
541,0.004684527341098334
542,0.004258381276292929
543,0.0038717877185416257
544,0.0035213870264736544
545,0.003203537431060892
546,0.0029154068611058443
547,0.0026540708227075905
548,0.0024169719570481846
549,0.0022016564793924842
550,0.002006119506606711
551,0.0018280681945778872
552,0.0016665117707603267
553,0.0015197534274745937
554,0.0013863563832302664
555,0.0012649742362050584
556,0.001154466636881946
557,0.0010538815009422115
558,0.0009623613889367368
559,0.0008791912849972137
560,0.0008035999337682881
561,0.0007349171163255683
562,0.000672459997937222
563,0.0006155908243660786
564,0.0005637560766122849
565,0.0005164689495349118
566,0.00047329221609700574
567,0.00043385566425146755
568,0.00039782135507469146
569,0.0003648871927565026
570,0.00033479059526204404
571,0.0003072793209162657
572,0.00028212252013708737
573,0.00025910931292680127
574,0.00023805672513694875
575,0.0002187849109203047
576,0.00020114754648584246
577,0.00018498641563476193
578,0.00017017035507828365
579,0.00015657208547911172
580,0.00014408959407102482
581,0.0001326221446317077
582,0.00012208543954840065
583,0.00011241073954063975
584,0.00010353030483460427
585,9.537575819711603e-05
586,8.7892711285667e-05
587,8.102145156980283e-05
588,7.471550749928753e-05
589,6.891924993050405e-05
590,6.359796368747407e-05
591,5.8709429426315216e-05
592,5.4207669962379876e-05
593,5.006275391379637e-05
594,4.6235566873784554e-05
595,4.270196929309025e-05
596,3.94366342813613e-05
597,3.642066325478692e-05
598,3.364134234658882e-05
599,3.108404687390689e-05
600,2.873272024286009e-05
601,2.657442574317307e-05
602,2.4588693536293135e-05
603,2.27595649942124e-05
604,2.107209720399763e-05
605,1.9511241022552085e-05
606,1.8067487386901954e-05
607,1.6731436678170186e-05
608,1.54972219736098e-05
609,1.4357138131508383e-05
610,1.330433051176132e-05
611,1.2333060634124124e-05
612,1.1436181276104937e-05
613,1.060725329287732e-05
614,9.840478657698408e-06
615,9.130209068528586e-06
616,8.471776275316928e-06
617,7.862128154482462e-06
618,7.29716764803665e-06
619,6.773892844941802e-06
620,6.2895595816254116e-06
621,5.841475356428569e-06
622,5.426653538717325e-06
623,5.042896262353557e-06
624,4.687753571841238e-06
625,4.359302678536894e-06
626,4.055427493253576e-06
627,3.774183962678002e-06
628,3.513378886447678e-06
629,3.2714637467866542e-06
630,3.0469561116186673e-06
631,2.83834269248601e-06
632,2.6444643267026695e-06
633,2.4644251641495706e-06
634,2.2973017648177286e-06
635,2.1420715717691674e-06
636,1.9979920342604794e-06
637,1.8640005022631649e-06
638,1.7392856898854367e-06
639,1.6230425448231777e-06
640,1.5145007924547652e-06
641,1.4131282571131155e-06
642,1.3185171995758646e-06
643,1.2302713898009389e-06
644,1.1480390985171596e-06
645,1.0715015029804821e-06
646,1.0003219965942844e-06
647,9.341518050994071e-07
648,8.726187746974876e-07
649,8.154002379253464e-07
650,7.622124291760365e-07
651,7.127716632483388e-07
652,6.66735177523732e-07
653,6.238416730556348e-07
654,5.838134910392074e-07
655,5.464131783708785e-07
656,5.114408808246442e-07
657,4.787258645757791e-07
658,4.4813152921685427e-07
659,4.1952778337211354e-07
660,3.927824778714631e-07
661,3.677302624016167e-07
662,3.4434380052283336e-07
663,3.2251603903701485e-07
664,3.0212361978625585e-07
665,2.830829078299844e-07
666,2.652939785911025e-07
667,2.4867105696649936e-07
668,2.3313493488768873e-07
669,2.1861163667352466e-07
670,2.0503251987531382e-07
671,1.923338537283289e-07
672,1.8046051859495273e-07
673,1.6934845241642973e-07
674,1.5895083511836151e-07
675,1.4922345453453588e-07
676,1.4011448122136672e-07
677,1.315895304803303e-07
678,1.2360357995352358e-07
679,1.1612402806547985e-07
680,1.0912004303990012e-07
681,1.0255519923252446e-07
682,9.640319723885814e-08
683,9.063704942770726e-08
684,8.52315127485902e-08
685,8.016314164404167e-08
686,7.540821723273244e-08
687,7.095001176222014e-08
688,6.676598434695187e-08
689,6.28416214744631e-08
690,5.9157287608356096e-08
691,5.5699027786764164e-08
692,5.24524114390831e-08
693,4.940275967326591e-08
694,4.6539862931997506e-08
695,4.384970553612057e-08
696,4.132241026845464e-08
697,3.8946810121118965e-08
698,3.6715152242430256e-08
699,3.4616681518811187e-08
700,3.2643914023166116e-08

