wavelength, power, luminance
5.8800000000000000e+02,3.3019999999999999e-06,1.1160000000000001e+00
5.9200000000000000e+02,5.1109999999999999e-06,1.1160000000000001e+00
5.9600000000000000e+02,8.1710000000000002e-06,1.1160000000000001e+00
6.0000000000000000e+02,1.2310000000000001e-05,1.1160000000000001e+00
6.0400000000000000e+02,2.1019999999999999e-05,1.1160000000000001e+00
6.0800000000000000e+02,3.1720000000000001e-05,1.1160000000000001e+00
6.1200000000000000e+02,4.8029999999999999e-05,1.1160000000000001e+00
6.1600000000000000e+02,7.0329999999999999e-05,1.1160000000000001e+00
6.2000000000000000e+02,1.0490000000000000e-04,1.1160000000000001e+00
6.2400000000000000e+02,1.5320000000000001e-04,1.1160000000000001e+00
6.2800000000000000e+02,2.0550000000000001e-04,1.1160000000000001e+00
6.3200000000000000e+02,2.3970000000000000e-04,1.1160000000000001e+00
6.3600000000000000e+02,2.2070000000000000e-04,1.1160000000000001e+00
6.4000000000000000e+02,1.4160000000000000e-04,1.1160000000000001e+00
6.4400000000000000e+02,7.7239999999999999e-05,1.1160000000000001e+00
6.4800000000000000e+02,3.9029999999999997e-05,1.1160000000000001e+00
6.5200000000000000e+02,1.9510000000000001e-05,1.1160000000000001e+00
6.5600000000000000e+02,8.8170000000000005e-06,1.1160000000000001e+00
6.6000000000000000e+02,4.8230000000000002e-06,1.1160000000000001e+00
6.6400000000000000e+02,2.5239999999999999e-06,1.1160000000000001e+00
6.6800000000000000e+02,1.7000000000000000e-06,1.1160000000000001e+00
6.7200000000000000e+02,5.9139999999999996e-07,1.1160000000000001e+00
6.7600000000000000e+02,7.8360000000000000e-07,1.1160000000000001e+00
6.8000000000000000e+02,1.0630000000000000e-06,1.1160000000000001e+00
6.8400000000000000e+02,5.3769999999999995e-07,1.1160000000000001e+00
6.8800000000000000e+02,5.5970000000000002e-07,1.1160000000000001e+00
6.9200000000000000e+02,5.8469999999999999e-07,1.1160000000000001e+00
6.9600000000000000e+02,6.1080000000000004e-07,1.1160000000000001e+00
7.0000000000000000e+02,6.3929999999999996e-07,1.1160000000000001e+00
7.0400000000000000e+02,6.7179999999999997e-07,1.1160000000000001e+00
7.0800000000000000e+02,7.0900000000000001e-07,1.1160000000000001e+00
7.1200000000000000e+02,7.4730000000000003e-07,1.1160000000000001e+00
7.1600000000000000e+02,7.9029999999999998e-07,1.1160000000000001e+00
7.2000000000000000e+02,2.1780000000000002e-06,1.1160000000000001e+00
7.2400000000000000e+02,9.0149999999999997e-07,1.1160000000000001e+00
7.2800000000000000e+02,9.6349999999999997e-07,1.1160000000000001e+00
7.3200000000000000e+02,1.0350000000000000e-06,1.1160000000000001e+00
7.3600000000000000e+02,1.1260000000000001e-06,1.1160000000000001e+00
7.4000000000000000e+02,2.1260000000000001e-06,1.1160000000000001e+00
7.4400000000000000e+02,4.7800000000000000e-06,1.1160000000000001e+00
7.4800000000000000e+02,2.3520000000000001e-06,1.1160000000000001e+00
7.5200000000000000e+02,1.6270000000000001e-06,1.1160000000000001e+00
7.5600000000000000e+02,1.7960000000000000e-06,1.1160000000000001e+00
7.6000000000000000e+02,1.9860000000000001e-06,1.1160000000000001e+00
7.6400000000000000e+02,2.2189999999999998e-06,1.1160000000000001e+00
7.6800000000000000e+02,2.4820000000000001e-06,1.1160000000000001e+00
7.7200000000000000e+02,2.7620000000000000e-06,1.1160000000000001e+00
7.7600000000000000e+02,3.0769999999999999e-06,1.1160000000000001e+00
7.8000000000000000e+02,4.2989999999999998e-06,1.1160000000000001e+00
wavelength, power, luminance
3.8000000000000000e+02,3.8210000000000001e-07,1.1870000000000001e+00
3.8400000000000000e+02,3.4880000000000000e-07,1.1870000000000001e+00
3.8800000000000000e+02,3.1210000000000000e-07,1.1870000000000001e+00
3.9200000000000000e+02,2.8120000000000000e-07,1.1870000000000001e+00
3.9600000000000000e+02,2.4870000000000000e-07,1.1870000000000001e+00
4.0000000000000000e+02,2.2760000000000000e-07,1.1870000000000001e+00
4.0400000000000000e+02,2.1080000000000001e-07,1.1870000000000001e+00
4.0800000000000000e+02,1.9929999999999999e-07,1.1870000000000001e+00
4.1200000000000000e+02,1.9160000000000000e-07,1.1870000000000001e+00
4.1600000000000000e+02,4.6919999999999999e-07,1.1870000000000001e+00
4.2000000000000000e+02,2.3999999999999998e-07,1.1870000000000001e+00
4.2400000000000000e+02,1.9259999999999999e-07,1.1870000000000001e+00
4.2800000000000000e+02,1.9719999999999999e-07,1.1870000000000001e+00
4.3200000000000000e+02,2.0310000000000001e-07,1.1870000000000001e+00
4.3600000000000000e+02,2.0970000000000001e-07,1.1870000000000001e+00
4.4000000000000000e+02,2.1630000000000000e-07,1.1870000000000001e+00
4.4400000000000000e+02,2.2329999999999999e-07,1.1870000000000001e+00
4.4800000000000000e+02,2.2849999999999999e-07,1.1870000000000001e+00
4.5200000000000000e+02,3.2500000000000001e-07,1.1870000000000001e+00
4.5600000000000000e+02,6.3050000000000004e-07,1.1870000000000001e+00
4.6000000000000000e+02,3.6329999999999998e-07,1.1870000000000001e+00
4.6400000000000000e+02,3.8400000000000000e-07,1.1870000000000001e+00
4.6800000000000000e+02,2.9470000000000001e-07,1.1870000000000001e+00
4.7200000000000000e+02,4.3270000000000000e-07,1.1870000000000001e+00
4.7600000000000000e+02,2.2709999999999999e-07,1.1870000000000001e+00
